YEAR,STATE,PARTY,VOTESHARE
2009,ANDHRA PRADESH,TDP,0.25
2009,ANDHRA PRADESH,PRAP,0.16
2009,ANDHRA PRADESH,TRS,0.06
2009,ANDHRA PRADESH,BJP,0.04
2009,ANDHRA PRADESH,IND,0.03
2009,ANDHRA PRADESH,CPI,0.02
2009,ANDHRA PRADESH,AIMIM,0.01
2009,ANDHRA PRADESH,BSP,0.01
2009,ANDHRA PRADESH,CPM,0.01
2009,ANDHRA PRADESH,LSP,0.01
2009,ANDHRA PRADESH,PPOI,0.01
2009,ARUNACHAL PRADESH,CONG,0.51
2009,ARUNACHAL PRADESH,BJP,0.37
2009,ARUNACHAL PRADESH,AC,0.09
2009,ARUNACHAL PRADESH,IND,0.01
2009,ARUNACHAL PRADESH,LB,0.01
2009,ARUNACHAL PRADESH,PPA,0.01
2009,ASSAM,CONG,0.35
2009,ASSAM,AUDF,0.16
2009,ASSAM,BJP,0.16
2009,ASSAM,AGP,0.15
2009,ASSAM,IND,0.08
2009,ASSAM,BPF,0.05
2009,ASSAM,ASDC,0.01
2009,ASSAM,CPI,0.01
2009,ASSAM,CPI(ML)(L),0.01
2009,ASSAM,CPM,0.01
2009,ASSAM,RWS,0.01
2009,BIHAR,JDU,0.24
2009,BIHAR,RJD,0.19
2009,BIHAR,BJP,0.14
2009,BIHAR,IND,0.12
2009,BIHAR,CONG,0.1
2009,BIHAR,LJP,0.07
2009,BIHAR,BSP,0.04
2009,BIHAR,CPI(ML)(L),0.02
2009,BIHAR,CPI,0.01
2009,BIHAR,CPM,0.01
2009,BIHAR,LTSD,0.01
2009,BIHAR,NCP,0.01
2009,CHANDIGARH,CONG,0.47
2009,CHANDIGARH,BJP,0.3
2009,CHANDIGARH,BSP,0.18
2009,CHANDIGARH,RJD,0.03
2009,CHANDIGARH,IND,0.02
2009,CHHATTISGARH,BJP,0.45
2009,CHHATTISGARH,CONG,0.37
2009,CHHATTISGARH,IND,0.1
2009,CHHATTISGARH,BSP,0.05
2009,CHHATTISGARH,CPI,0.01
2009,CHHATTISGARH,GGP,0.01
2009,D&N HAVELI,BJP,0.46
2009,D&N HAVELI,CONG,0.46
2009,D&N HAVELI,IND,0.06
2009,D&N HAVELI,BSP,0.01
2009,DAMAN & DIU,BJP,0.65
2009,DAMAN & DIU,CONG,0.29
2009,DAMAN & DIU,NCP,0.03
2009,DAMAN & DIU,IND,0.02
2009,DAMAN & DIU,SP,0.01
2009,GOA,BJP,0.45
2009,GOA,CONG,0.23
2009,GOA,NCP,0.23
2009,GOA,UGDP,0.03
2009,GOA,CPI,0.02
2009,GOA,IND,0.02
2009,GOA,MAG,0.01
2009,GOA,SS,0.01
2009,GUJARAT,BJP,0.47
2009,GUJARAT,CONG,0.43
2009,GUJARAT,IND,0.05
2009,GUJARAT,BSP,0.02
2009,GUJARAT,MJP,0.01
2009,HARYANA,CONG,0.42
2009,HARYANA,BSP,0.16
2009,HARYANA,INLD,0.16
2009,HARYANA,BJP,0.12
2009,HARYANA,HJCBL,0.1
2009,HARYANA,IND,0.03
2009,HIMACHAL PRADESH,BJP,0.5
2009,HIMACHAL PRADESH,CONG,0.46
2009,HIMACHAL PRADESH,BSP,0.02
2009,HIMACHAL PRADESH,CPM,0.01
2009,HIMACHAL PRADESH,IND,0.01
2009,JAMMU & KASHMIR,CONG,0.25
2009,JAMMU & KASHMIR,JKPDP,0.2
2009,JAMMU & KASHMIR,BJP,0.19
2009,JAMMU & KASHMIR,NC,0.19
2009,JAMMU & KASHMIR,IND,0.06
2009,JAMMU & KASHMIR,BSP,0.03
2009,JAMMU & KASHMIR,JKNPP,0.03
2009,JAMMU & KASHMIR,JPC,0.03
2009,JAMMU & KASHMIR,CPI,0.01
2009,JHARKHAND,BJP,0.28
2009,JHARKHAND,CONG,0.15
2009,JHARKHAND,JMM,0.12
2009,JHARKHAND,IND,0.11
2009,JHARKHAND,JVM,0.1
2009,JHARKHAND,RJD,0.05
2009,JHARKHAND,BSP,0.04
2009,JHARKHAND,CPI(ML)(L),0.03
2009,JHARKHAND,AJSUP,0.02
2009,JHARKHAND,CPI,0.01
2009,JHARKHAND,CPM,0.01
2009,JHARKHAND,JDU,0.01
2009,JHARKHAND,JHJM,0.01
2009,JHARKHAND,JKP,0.01
2009,JHARKHAND,MCO,0.01
2009,JHARKHAND,SP,0.01
2009,KARNATAKA,BJP,0.42
2009,KARNATAKA,CONG,0.38
2009,KARNATAKA,JDS,0.14
2009,KARNATAKA,IND,0.04
2009,KARNATAKA,BSP,0.02
2009,KERALA,CONG,0.4
2009,KERALA,CPM,0.3
2009,KERALA,CPI,0.07
2009,KERALA,BJP,0.06
2009,KERALA,IUML,0.05
2009,KERALA,IND,0.04
2009,KERALA,KECM,0.03
2009,KERALA,KEC,0.02
2009,KERALA,BSP,0.01
2009,KERALA,NCP,0.01
2009,LAKSHADWEEP,CONG,0.52
2009,LAKSHADWEEP,NCP,0.46
2009,LAKSHADWEEP,BJP,0.01
2009,LAKSHADWEEP,CPM,0.01
2009,MADHYA PRADESH,BJP,0.43
2009,MADHYA PRADESH,CONG,0.4
2009,MADHYA PRADESH,BSP,0.06
2009,MADHYA PRADESH,IND,0.05
2009,MADHYA PRADESH,SP,0.03
2009,MADHYA PRADESH,GGP,0.01
2009,MAHARASHTRA,CONG,0.2
2009,MAHARASHTRA,NCP,0.19
2009,MAHARASHTRA,BJP,0.18
2009,MAHARASHTRA,SS,0.17
2009,MAHARASHTRA,IND,0.08
2009,MAHARASHTRA,BSP,0.05
2009,MAHARASHTRA,MNS,0.04
2009,MAHARASHTRA,BBM,0.01
2009,MAHARASHTRA,BVA,0.01
2009,MAHARASHTRA,CPM,0.01
2009,MAHARASHTRA,RPI,0.01
2009,MAHARASHTRA,RPI(A),0.01
2009,MAHARASHTRA,RSPS,0.01
2009,MAHARASHTRA,SP,0.01
2009,MAHARASHTRA,STBP,0.01
2009,MAHARASHTRA,SWP,0.01
2009,MANIPUR,CONG,0.43
2009,MANIPUR,PDA,0.17
2009,MANIPUR,CPI,0.15
2009,MANIPUR,BJP,0.09
2009,MANIPUR,MPP,0.08
2009,MANIPUR,NCP,0.06
2009,MANIPUR,IND,0.02
2009,MEGHALAYA,CONG,0.45
2009,MEGHALAYA,NCP,0.19
2009,MEGHALAYA,UDP,0.15
2009,MEGHALAYA,HSPDP,0.12
2009,MEGHALAYA,ACNC,0.05
2009,MEGHALAYA,IND,0.03
2009,MEGHALAYA,CPI,0.01
2009,MEGHALAYA,MDP,0.01
2009,MIZORAM,CONG,0.66
2009,MIZORAM,IND,0.33
2009,MIZORAM,NCP,0.01
2009,NAGALAND,NPF,0.7
2009,NAGALAND,CONG,0.29
2009,NAGALAND,TMC,0.01
2009,NCT OF DELHI,CONG,0.57
2009,NCT OF DELHI,BJP,0.35
2009,NCT OF DELHI,BSP,0.05
2009,NCT OF DELHI,IND,0.01
2009,ORISSA,BJD,0.37
2009,ORISSA,CONG,0.33
2009,ORISSA,BJP,0.17
2009,ORISSA,CPI,0.03
2009,ORISSA,BSP,0.02
2009,ORISSA,IND,0.02
2009,ORISSA,JMM,0.02
2009,ORISSA,NCP,0.02
2009,ORISSA,SAMO,0.01
2009,PUDUCHERRY,CONG,0.49
2009,PUDUCHERRY,PMK,0.34
2009,PUDUCHERRY,DMDK,0.09
2009,PUDUCHERRY,IND,0.04
2009,PUDUCHERRY,BJP,0.02
2009,PUDUCHERRY,BSP,0.01
2009,PUNJAB,CONG,0.45
2009,PUNJAB,SAD,0.34
2009,PUNJAB,BJP,0.1
2009,PUNJAB,BSP,0.06
2009,PUNJAB,IND,0.02
2009,PUNJAB,LBP,0.01
2009,RAJASTHAN,CONG,0.47
2009,RAJASTHAN,BJP,0.37
2009,RAJASTHAN,IND,0.09
2009,RAJASTHAN,BSP,0.03
2009,RAJASTHAN,CPM,0.01
2009,SIKKIM,SDF,0.63
2009,SIKKIM,CONG,0.3
2009,SIKKIM,BJP,0.02
2009,SIKKIM,SHRP,0.02
2009,SIKKIM,IND,0.01
2009,SIKKIM,SGPP,0.01
2009,SIKKIM,SJEP,0.01
2009,TAMIL NADU,DMK,0.25
2009,TAMIL NADU,ADMK,0.23
2009,TAMIL NADU,CONG,0.15
2009,TAMIL NADU,DMDK,0.1
2009,TAMIL NADU,PMK,0.06
2009,TAMIL NADU,IND,0.04
2009,TAMIL NADU,MDMK,0.04
2009,TAMIL NADU,CPI,0.03
2009,TAMIL NADU,BJP,0.02
2009,TAMIL NADU,CPM,0.02
2009,TAMIL NADU,KNMK,0.02
2009,TAMIL NADU,VCK,0.02
2009,TAMIL NADU,BSP,0.01
2009,TRIPURA,CPM,0.62
2009,TRIPURA,CONG,0.31
2009,TRIPURA,BJP,0.03
2009,TRIPURA,IND,0.02
2009,TRIPURA,TMC,0.01
2009,TRIPURA,AMB,0.01
2009,TRIPURA,CPI(ML)(L),0.01
2009,UTTAR PRADESH,BSP,0.27
2009,UTTAR PRADESH,SP,0.23
2009,UTTAR PRADESH,CONG,0.18
2009,UTTAR PRADESH,BJP,0.17
2009,UTTAR PRADESH,IND,0.05
2009,UTTAR PRADESH,RLD,0.03
2009,UTTAR PRADESH,AD,0.01
2009,UTTAR PRADESH,PECP,0.01
2009,UTTAR PRADESH,SBSP,0.01
2009,UTTARAKHAND,CONG,0.43
2009,UTTARAKHAND,BJP,0.34
2009,UTTARAKHAND,BSP,0.15
2009,UTTARAKHAND,IND,0.03
2009,UTTARAKHAND,SP,0.02
2009,UTTARAKHAND,UKKD,0.01
2009,WEST BENGAL,CPM,0.33
2009,WEST BENGAL,TMC,0.31
2009,WEST BENGAL,CONG,0.13
2009,WEST BENGAL,BJP,0.06
2009,WEST BENGAL,CPI,0.04
2009,WEST BENGAL,RSP,0.04
2009,WEST BENGAL,AIFB,0.03
2009,WEST BENGAL,IND,0.03
2009,WEST BENGAL,AUDF,0.01
2009,WEST BENGAL,BSP,0.01
2004,A&N ISLANDS,CONG,0.56
2004,A&N ISLANDS,BJP,0.36
2004,A&N ISLANDS,CPM,0.03
2004,A&N ISLANDS,IND,0.02
2004,A&N ISLANDS,NCP,0.02
2004,A&N ISLANDS,BSP,0.01
2004,A&N ISLANDS,CPI(ML)(L),0.01
2004,ANDHRA PRADESH,CONG,0.42
2004,ANDHRA PRADESH,TDP,0.33
2004,ANDHRA PRADESH,BJP,0.08
2004,ANDHRA PRADESH,TRS,0.07
2004,ANDHRA PRADESH,IND,0.04
2004,ANDHRA PRADESH,AIMIM,0.01
2004,ANDHRA PRADESH,BSP,0.01
2004,ANDHRA PRADESH,CPI,0.01
2004,ANDHRA PRADESH,CPM,0.01
2004,ARUNACHAL PRADESH,BJP,0.54
2004,ARUNACHAL PRADESH,AC,0.2
2004,ARUNACHAL PRADESH,IND,0.12
2004,ARUNACHAL PRADESH,CONG,0.1
2004,ARUNACHAL PRADESH,TMC,0.02
2004,ARUNACHAL PRADESH,SAP,0.01
2004,ARUNACHAL PRADESH,SP,0.01
2004,ASSAM,CONG,0.35
2004,ASSAM,BJP,0.23
2004,ASSAM,AGP,0.2
2004,ASSAM,IND,0.13
2004,ASSAM,CPI,0.02
2004,ASSAM,ASDC,0.01
2004,ASSAM,CPI(ML)(L),0.01
2004,ASSAM,CPM,0.01
2004,ASSAM,JDU,0.01
2004,ASSAM,SAP,0.01
2004,ASSAM,SP,0.01
2004,ASSAM,UMFA,0.01
2004,BIHAR,RJD,0.31
2004,BIHAR,JDU,0.22
2004,BIHAR,BJP,0.15
2004,BIHAR,LJP,0.08
2004,BIHAR,IND,0.07
2004,BIHAR,BSP,0.04
2004,BIHAR,CONG,0.04
2004,BIHAR,CPI(ML)(L),0.02
2004,BIHAR,SP,0.02
2004,BIHAR,CPI,0.01
2004,BIHAR,CPM,0.01
2004,BIHAR,NCP,0.01
2004,CHANDIGARH,CONG,0.52
2004,CHANDIGARH,BJP,0.35
2004,CHANDIGARH,INLD,0.07
2004,CHANDIGARH,IND,0.03
2004,CHANDIGARH,BSP,0.02
2004,CHHATTISGARH,BJP,0.48
2004,CHHATTISGARH,CONG,0.4
2004,CHHATTISGARH,BSP,0.05
2004,CHHATTISGARH,IND,0.04
2004,CHHATTISGARH,GGP,0.01
2004,CHHATTISGARH,SP,0.01
2004,D&N HAVELI,BNP,0.41
2004,D&N HAVELI,CONG,0.26
2004,D&N HAVELI,BJP,0.16
2004,D&N HAVELI,SS,0.07
2004,D&N HAVELI,IND,0.06
2004,D&N HAVELI,NCP,0.02
2004,D&N HAVELI,BSP,0.01
2004,D&N HAVELI,CPM,0.01
2004,D&N HAVELI,SP,0.01
2004,DAMAN & DIU,CONG,0.5
2004,DAMAN & DIU,BJP,0.48
2004,DAMAN & DIU,BSP,0.02
2004,GOA,BJP,0.47
2004,GOA,CONG,0.3
2004,GOA,NCP,0.16
2004,GOA,CPI,0.02
2004,GOA,IND,0.02
2004,GOA,MAG,0.01
2004,GOA,SS,0.01
2004,GOA,UGDP,0.01
2004,GUJARAT,BJP,0.47
2004,GUJARAT,CONG,0.44
2004,GUJARAT,IND,0.03
2004,GUJARAT,BNP,0.01
2004,GUJARAT,BSP,0.01
2004,GUJARAT,JDU,0.01
2004,GUJARAT,NCP,0.01
2004,GUJARAT,SP,0.01
2004,HARYANA,CONG,0.42
2004,HARYANA,INLD,0.22
2004,HARYANA,BJP,0.17
2004,HARYANA,HVP,0.06
2004,HARYANA,BSP,0.05
2004,HARYANA,IND,0.03
2004,HARYANA,ES,0.02
2004,HARYANA,SP,0.02
2004,HIMACHAL PRADESH,CONG,0.52
2004,HIMACHAL PRADESH,BJP,0.44
2004,HIMACHAL PRADESH,BSP,0.02
2004,HIMACHAL PRADESH,IND,0.02
2004,JAMMU & KASHMIR,CONG,0.28
2004,JAMMU & KASHMIR,BJP,0.23
2004,JAMMU & KASHMIR,NC,0.22
2004,JAMMU & KASHMIR,JKPDP,0.12
2004,JAMMU & KASHMIR,IND,0.07
2004,JAMMU & KASHMIR,JKNPP,0.03
2004,JAMMU & KASHMIR,BSP,0.02
2004,JAMMU & KASHMIR,CPM,0.01
2004,JHARKHAND,BJP,0.33
2004,JHARKHAND,CONG,0.21
2004,JHARKHAND,JMM,0.16
2004,JHARKHAND,IND,0.07
2004,JHARKHAND,CPI,0.04
2004,JHARKHAND,JDU,0.04
2004,JHARKHAND,RJD,0.04
2004,JHARKHAND,AJSU,0.02
2004,JHARKHAND,BSP,0.02
2004,JHARKHAND,CPI(ML)(L),0.02
2004,JHARKHAND,MCO,0.02
2004,JHARKHAND,JKP,0.01
2004,JHARKHAND,SP,0.01
2004,KARNATAKA,CONG,0.37
2004,KARNATAKA,BJP,0.35
2004,KARNATAKA,JDS,0.2
2004,KARNATAKA,IND,0.02
2004,KARNATAKA,JDU,0.02
2004,KARNATAKA,BSP,0.01
2004,KARNATAKA,JP,0.01
2004,KARNATAKA,KNDP,0.01
2004,KERALA,CPM,0.32
2004,KERALA,CONG,0.32
2004,KERALA,BJP,0.1
2004,KERALA,CPI,0.08
2004,KERALA,IND,0.05
2004,KERALA,IUML,0.05
2004,KERALA,IFDP,0.02
2004,KERALA,JDS,0.02
2004,KERALA,KEC,0.02
2004,KERALA,KECM,0.01
2004,LAKSHADWEEP,CONG,0.49
2004,LAKSHADWEEP,JDU,0.49
2004,LAKSHADWEEP,JP,0.01
2004,LAKSHADWEEP,SP,0.01
2004,MADHYA PRADESH,BJP,0.48
2004,MADHYA PRADESH,CONG,0.34
2004,MADHYA PRADESH,BSP,0.05
2004,MADHYA PRADESH,IND,0.04
2004,MADHYA PRADESH,GGP,0.03
2004,MADHYA PRADESH,SP,0.03
2004,MADHYA PRADESH,JP,0.01
2004,MAHARASHTRA,CONG,0.24
2004,MAHARASHTRA,BJP,0.23
2004,MAHARASHTRA,SS,0.2
2004,MAHARASHTRA,NCP,0.18
2004,MAHARASHTRA,IND,0.04
2004,MAHARASHTRA,BSP,0.03
2004,MAHARASHTRA,BBM,0.01
2004,MAHARASHTRA,CPM,0.01
2004,MAHARASHTRA,JDS,0.01
2004,MAHARASHTRA,PRBP,0.01
2004,MAHARASHTRA,PWPI,0.01
2004,MAHARASHTRA,RPI(A),0.01
2004,MAHARASHTRA,SP,0.01
2004,MANIPUR,IND,0.22
2004,MANIPUR,BJP,0.21
2004,MANIPUR,CONG,0.15
2004,MANIPUR,CPI,0.1
2004,MANIPUR,NCP,0.1
2004,MANIPUR,FPM,0.09
2004,MANIPUR,MPP,0.07
2004,MANIPUR,JDU,0.04
2004,MANIPUR,TMC,0.02
2004,MEGHALAYA,CONG,0.46
2004,MEGHALAYA,TMC,0.28
2004,MEGHALAYA,IND,0.18
2004,MEGHALAYA,BJP,0.09
2004,MIZORAM,MNF,0.52
2004,MIZORAM,IND,0.46
2004,MIZORAM,EU,0.02
2004,NAGALAND,NPF,0.73
2004,NAGALAND,CONG,0.26
2004,NAGALAND,IND,0.01
2004,NAGALAND,JDS,0.01
2004,NCT OF DELHI,CONG,0.55
2004,NCT OF DELHI,BJP,0.41
2004,NCT OF DELHI,BSP,0.02
2004,NCT OF DELHI,IND,0.01
2004,ORISSA,CONG,0.4
2004,ORISSA,BJD,0.3
2004,ORISSA,BJP,0.19
2004,ORISSA,IND,0.04
2004,ORISSA,BSP,0.02
2004,ORISSA,JMM,0.02
2004,ORISSA,RPI,0.01
2004,ORISSA,SP,0.01
2004,PUDUCHERRY,PMK,0.5
2004,PUDUCHERRY,BJP,0.36
2004,PUDUCHERRY,IND,0.07
2004,PUDUCHERRY,JDU,0.06
2004,PUDUCHERRY,BSP,0.01
2004,PUNJAB,CONG,0.34
2004,PUNJAB,SAD,0.34
2004,PUNJAB,BJP,0.1
2004,PUNJAB,BSP,0.08
2004,PUNJAB,SAD(M),0.04
2004,PUNJAB,CPI,0.03
2004,PUNJAB,IND,0.03
2004,PUNJAB,CPM,0.02
2004,PUNJAB,LBP,0.02
2004,RAJASTHAN,BJP,0.49
2004,RAJASTHAN,CONG,0.41
2004,RAJASTHAN,BSP,0.03
2004,RAJASTHAN,IND,0.03
2004,RAJASTHAN,CPM,0.01
2004,RAJASTHAN,INLD,0.01
2004,RAJASTHAN,LJP,0.01
2004,SIKKIM,SDF,0.7
2004,SIKKIM,CONG,0.27
2004,SIKKIM,SHRP,0.01
2004,SIKKIM,SSP,0.01
2004,TAMIL NADU,ADMK,0.3
2004,TAMIL NADU,DMK,0.25
2004,TAMIL NADU,CONG,0.14
2004,TAMIL NADU,PMK,0.07
2004,TAMIL NADU,MDMK,0.06
2004,TAMIL NADU,BJP,0.05
2004,TAMIL NADU,CPI,0.03
2004,TAMIL NADU,CPM,0.03
2004,TAMIL NADU,IND,0.03
2004,TAMIL NADU,JDU,0.03
2004,TAMIL NADU,BSP,0.01
2004,TAMIL NADU,JP,0.01
2004,TRIPURA,CPM,0.69
2004,TRIPURA,CONG,0.14
2004,TRIPURA,BJP,0.08
2004,TRIPURA,TMC,0.05
2004,TRIPURA,IND,0.02
2004,TRIPURA,AMB,0.01
2004,UTTAR PRADESH,SP,0.27
2004,UTTAR PRADESH,BSP,0.25
2004,UTTAR PRADESH,BJP,0.22
2004,UTTAR PRADESH,CONG,0.12
2004,UTTAR PRADESH,IND,0.04
2004,UTTAR PRADESH,RLD,0.04
2004,UTTAR PRADESH,AD,0.01
2004,UTTAR PRADESH,JDU,0.01
2004,UTTAR PRADESH,NLP,0.01
2004,UTTAR PRADESH,SJP(R),0.01
2004,UTTARAKHAND,BJP,0.41
2004,UTTARAKHAND,CONG,0.38
2004,UTTARAKHAND,SP,0.08
2004,UTTARAKHAND,BSP,0.07
2004,UTTARAKHAND,IND,0.03
2004,UTTARAKHAND,UKKD,0.02
2004,WEST BENGAL,CPM,0.39
2004,WEST BENGAL,TMC,0.21
2004,WEST BENGAL,CONG,0.15
2004,WEST BENGAL,BJP,0.08
2004,WEST BENGAL,AIFB,0.04
2004,WEST BENGAL,CPI,0.04
2004,WEST BENGAL,RSP,0.04
2004,WEST BENGAL,IND,0.03
2004,WEST BENGAL,BSP,0.01
1999,A&N ISLANDS,BJP,0.53
1999,A&N ISLANDS,CONG,0.43
1999,A&N ISLANDS,IND,0.03
1999,A&N ISLANDS,NCP,0.01
1999,ANDHRA PRADESH,CONG,0.43
1999,ANDHRA PRADESH,TDP,0.4
1999,ANDHRA PRADESH,BJP,0.1
1999,ANDHRA PRADESH,AIMIM,0.01
1999,ANDHRA PRADESH,ATDP,0.01
1999,ANDHRA PRADESH,CPI,0.01
1999,ANDHRA PRADESH,CPM,0.01
1999,ANDHRA PRADESH,IND,0.01
1999,ARUNACHAL PRADESH,CONG,0.57
1999,ARUNACHAL PRADESH,AC,0.17
1999,ARUNACHAL PRADESH,BJP,0.16
1999,ARUNACHAL PRADESH,NCP,0.08
1999,ARUNACHAL PRADESH,AJBP,0.02
1999,ASSAM,CONG,0.38
1999,ASSAM,BJP,0.3
1999,ASSAM,AGP,0.12
1999,ASSAM,IND,0.09
1999,ASSAM,CPI(ML)(L),0.02
1999,ASSAM,CPM,0.02
1999,ASSAM,PDF,0.02
1999,ASSAM,URMCA,0.02
1999,ASSAM,CPI,0.01
1999,ASSAM,NCP,0.01
1999,ASSAM,UMFA,0.01
1999,BIHAR,RJD,0.28
1999,BIHAR,BJP,0.23
1999,BIHAR,JDU,0.21
1999,BIHAR,CONG,0.09
1999,BIHAR,IND,0.04
1999,BIHAR,CPI,0.03
1999,BIHAR,BPSP,0.02
1999,BIHAR,CPI(ML)(L),0.02
1999,BIHAR,JMM,0.02
1999,BIHAR,BSP,0.01
1999,BIHAR,CPM,0.01
1999,BIHAR,MCO,0.01
1999,BIHAR,NCP,0.01
1999,CHANDIGARH,CONG,0.47
1999,CHANDIGARH,BJP,0.45
1999,CHANDIGARH,BSP,0.03
1999,CHANDIGARH,IND,0.03
1999,CHANDIGARH,SP,0.02
1999,D&N HAVELI,IND,0.45
1999,D&N HAVELI,BJP,0.21
1999,D&N HAVELI,SS,0.2
1999,D&N HAVELI,CONG,0.15
1999,DAMAN & DIU,CONG,0.49
1999,DAMAN & DIU,BJP,0.43
1999,DAMAN & DIU,IND,0.07
1999,DAMAN & DIU,SS,0.01
1999,GOA,BJP,0.51
1999,GOA,CONG,0.39
1999,GOA,NCP,0.04
1999,GOA,CPI,0.03
1999,GOA,IND,0.01
1999,GOA,SS,0.01
1999,GUJARAT,BJP,0.52
1999,GUJARAT,CONG,0.45
1999,GUJARAT,IND,0.01
1999,GUJARAT,NCP,0.01
1999,HARYANA,CONG,0.35
1999,HARYANA,BJP,0.29
1999,HARYANA,INLD,0.29
1999,HARYANA,HVP,0.03
1999,HARYANA,BSP,0.02
1999,HARYANA,IND,0.02
1999,HIMACHAL PRADESH,BJP,0.46
1999,HIMACHAL PRADESH,CONG,0.4
1999,HIMACHAL PRADESH,HVC,0.12
1999,JAMMU & KASHMIR,BJP,0.32
1999,JAMMU & KASHMIR,NC,0.29
1999,JAMMU & KASHMIR,CONG,0.18
1999,JAMMU & KASHMIR,IND,0.1
1999,JAMMU & KASHMIR,BSP,0.05
1999,JAMMU & KASHMIR,JKAL,0.02
1999,JAMMU & KASHMIR,CPM,0.01
1999,JAMMU & KASHMIR,JDS,0.01
1999,JAMMU & KASHMIR,JKNPP,0.01
1999,JAMMU & KASHMIR,JP,0.01
1999,JAMMU & KASHMIR,SJP(R),0.01
1999,KARNATAKA,CONG,0.45
1999,KARNATAKA,BJP,0.27
1999,KARNATAKA,JDU,0.13
1999,KARNATAKA,JDS,0.11
1999,KARNATAKA,IND,0.02
1999,KARNATAKA,BSP,0.01
1999,KERALA,CONG,0.39
1999,KERALA,CPM,0.28
1999,KERALA,CPI,0.08
1999,KERALA,BJP,0.07
1999,KERALA,IND,0.05
1999,KERALA,IUML,0.05
1999,KERALA,JDS,0.02
1999,KERALA,KEC,0.02
1999,KERALA,KECM,0.02
1999,KERALA,JDU,0.01
1999,LAKSHADWEEP,CONG,0.54
1999,LAKSHADWEEP,JDU,0.43
1999,LAKSHADWEEP,JDS,0.02
1999,LAKSHADWEEP,IND,0.01
1999,MADHYA PRADESH,BJP,0.47
1999,MADHYA PRADESH,CONG,0.44
1999,MADHYA PRADESH,BSP,0.05
1999,MADHYA PRADESH,IND,0.01
1999,MADHYA PRADESH,SP,0.01
1999,MAHARASHTRA,CONG,0.3
1999,MAHARASHTRA,NCP,0.22
1999,MAHARASHTRA,BJP,0.21
1999,MAHARASHTRA,SS,0.17
1999,MAHARASHTRA,IND,0.03
1999,MAHARASHTRA,BBM,0.02
1999,MAHARASHTRA,CPM,0.01
1999,MAHARASHTRA,JDS,0.01
1999,MAHARASHTRA,PWPI,0.01
1999,MAHARASHTRA,RPI,0.01
1999,MANIPUR,CONG,0.25
