ST_CODE,PC_CODE,STATE,PC,NO,NAME,PARTY
S01,4,ANDHRA PRADESH,NIZAMABAD,3,TALARI RAMULU,Bahujan Samaj Party
S01,4,ANDHRA PRADESH,NIZAMABAD,4,MADHU YASKHI GOUD,Indian National Congress
S01,4,ANDHRA PRADESH,NIZAMABAD,5,ABDUL GANI,B. C. United Front
S01,4,ANDHRA PRADESH,NIZAMABAD,6,BANJA VEERAPPA,Pyramid Party of India
S01,4,ANDHRA PRADESH,NIZAMABAD,7,MALIK MOHTASIM KHAN,Welfare Party Of India
S01,4,ANDHRA PRADESH,NIZAMABAD,8,RAPELLY SRINIVAS,Aam Aadmi Party
S01,4,ANDHRA PRADESH,NIZAMABAD,9,SAGAR SUDDALA,Bahujan Mukti Party
S01,4,ANDHRA PRADESH,NIZAMABAD,10,SINGAREDDY RAVINDRA REDDY,Yuvajana Sramika Rythu Congress Party
S01,4,ANDHRA PRADESH,NIZAMABAD,11,ABDUL KAREEM KHAN (BABU),Independent
S01,4,ANDHRA PRADESH,NIZAMABAD,12,KANDEM PRABHAKAR,Independent
S01,4,ANDHRA PRADESH,NIZAMABAD,13,KOTAPATI NARSIMHAM NAIDU,Independent
S01,4,ANDHRA PRADESH,NIZAMABAD,14,S. CHANDRAIAH,Independent
S01,4,ANDHRA PRADESH,NIZAMABAD,15,CHIRULINGADRULA VENKATESHAM,Independent
S01,4,ANDHRA PRADESH,NIZAMABAD,16,BAGWAN B,Independent
S01,5,ANDHRA PRADESH,ZAHIRABAD,1,B.B. PATIL,Telangana Rashtra Samithi
S01,5,ANDHRA PRADESH,ZAHIRABAD,2,K.MADAN MOHAN RAO,Telugu Desam
S01,5,ANDHRA PRADESH,ZAHIRABAD,3,SAYYAD FEROJODDIN,Bahujan Samaj Party
S01,5,ANDHRA PRADESH,ZAHIRABAD,4,SURESH KUMAR SHETKAR,Indian National Congress
S01,5,ANDHRA PRADESH,ZAHIRABAD,5,MARRI DURGESH,Republican Party of India (A)
S01,5,ANDHRA PRADESH,ZAHIRABAD,6,MAHMOOD MOHIUDDIN,Yuvajana Sramika Rythu Congress Party
S01,5,ANDHRA PRADESH,ZAHIRABAD,7,DR. SUNEEL KUMAR CHOWDHARY,Aam Aadmi Party
S01,5,ANDHRA PRADESH,ZAHIRABAD,8,TANDALE AMBAJI RAO,Independent
S01,5,ANDHRA PRADESH,ZAHIRABAD,9,BENJAMIN RAJU,Independent
S01,5,ANDHRA PRADESH,ZAHIRABAD,10,RAMA RAO,Independent
S01,6,ANDHRA PRADESH,MEDAK,1,KALVAKUNTLA CHANDRASHEKAR RAO,Telangana Rashtra Samithi
S01,6,ANDHRA PRADESH,MEDAK,2,CHAGANLA NARENDRA NATH,Bharatiya Janata Party
S01,6,ANDHRA PRADESH,MEDAK,3,Y. SHANKAR GOUD,Bahujan Samaj Party
S01,6,ANDHRA PRADESH,MEDAK,4,DR.P. SHRAVAN KUMAR REDDY,Indian National Congress
S01,6,ANDHRA PRADESH,MEDAK,5,IQBAL ALI ZAFAR,Majlis Bachao Tahreek
S01,6,ANDHRA PRADESH,MEDAK,6,KOMPELLI PRABHUDAS,Republican Party of India (A)
S01,6,ANDHRA PRADESH,MEDAK,7,"PRABHUGOUD, PULLAIAHGARI",Yuvajana Sramika Rythu Congress Party
S01,6,ANDHRA PRADESH,MEDAK,8,BOMMA BALESHAM,Pyramid Party of India
S01,6,ANDHRA PRADESH,MEDAK,9,KUNDETI. RAVI.,Independent
S01,6,ANDHRA PRADESH,MEDAK,10,GAJABINKAR BANSILAL,Independent
S01,6,ANDHRA PRADESH,MEDAK,11,GURJADA BHEERAIAH YADAV,Independent
S01,6,ANDHRA PRADESH,MEDAK,12,BALARAJU MITTAPALLY,Independent
S01,6,ANDHRA PRADESH,MEDAK,13,MEKA. SUBBA RAO,Independent
S01,7,ANDHRA PRADESH,MALKAJGIRI,1,KARUNAKAR.R,Bahujan Samaj Party
S01,7,ANDHRA PRADESH,MALKAJGIRI,2,CH.MALLA REDDY,Telugu Desam
S01,7,ANDHRA PRADESH,MALKAJGIRI,3,SARVEY SATHYANARAYANA,Indian National Congress
S01,7,ANDHRA PRADESH,MALKAJGIRI,4,HANUMANTH RAO MYNAMPALLY,Telangana Rashtra Samithi
S01,7,ANDHRA PRADESH,MALKAJGIRI,5,DR.JAYAPRAKASH  NARAYAN .N,Lok Satta Party
S01,7,ANDHRA PRADESH,MALKAJGIRI,6,JAJULA BHASKAR,Shramajeevi Party
S01,7,ANDHRA PRADESH,MALKAJGIRI,7,V.DINESH REDDY,Yuvajana Sramika Rythu Congress Party
S01,7,ANDHRA PRADESH,MALKAJGIRI,8,DIVAKAR DHARANIKOTA SUDHAKAR,All India Majlis-E-Ittehadul Muslimeen
S01,7,ANDHRA PRADESH,MALKAJGIRI,9,PADURI SRINIVAS REDDY,Telangana Loksatta Party
S01,7,ANDHRA PRADESH,MALKAJGIRI,10,BANDI SUDHAKAR,Jai Samaikyandhra Party
S01,7,ANDHRA PRADESH,MALKAJGIRI,11,MURARI.T.N,Shivsena
S01,7,ANDHRA PRADESH,MALKAJGIRI,12,SATHYANARAYANA YAADAV PEDDIBOYINA,B.C.Bharata Desam Party
S01,7,ANDHRA PRADESH,MALKAJGIRI,13,SUTHARAPU PADMAIAH,Andhra Pradesh Rashtra Samaikya Samithi Party
S01,7,ANDHRA PRADESH,MALKAJGIRI,14,DR.N.V.SUDHA KIRAN,Aam Aadmi Party
S01,7,ANDHRA PRADESH,MALKAJGIRI,15,SURAKANTI VENKAT REDDY,Pyramid Party of India
S01,7,ANDHRA PRADESH,MALKAJGIRI,16,ANJANEYULU.E,Independent
S01,7,ANDHRA PRADESH,MALKAJGIRI,17,KANTE SAYANNA,Independent
S01,7,ANDHRA PRADESH,MALKAJGIRI,18,KOYALKAR BHOJ RAJ,Independent
S01,7,ANDHRA PRADESH,MALKAJGIRI,19,GAJABINKAR BANSILAL,Independent
S01,7,ANDHRA PRADESH,MALKAJGIRI,20,DASARI BHARATH REDDY,Independent
S01,7,ANDHRA PRADESH,MALKAJGIRI,21,PROF. K.NAGESHWAR,Independent
S01,7,ANDHRA PRADESH,MALKAJGIRI,22,M.NAGESWARA RAO,Independent
S01,7,ANDHRA PRADESH,MALKAJGIRI,23,PEESARI SATISH REDDY,Independent
S01,7,ANDHRA PRADESH,MALKAJGIRI,24,POTTURI TULASI DAS,Independent
S01,7,ANDHRA PRADESH,MALKAJGIRI,25,POLISETTY KRISHNA RAO,Independent
S01,7,ANDHRA PRADESH,MALKAJGIRI,26,D.BIKSHAPATHI,Independent
S01,7,ANDHRA PRADESH,MALKAJGIRI,27,RAHUL PANDIT,Independent
S01,7,ANDHRA PRADESH,MALKAJGIRI,28,VATTIKUTI RAMARAO GOUD,Independent
S01,7,ANDHRA PRADESH,MALKAJGIRI,29,M.T.VARUGHESE,Independent
S01,7,ANDHRA PRADESH,MALKAJGIRI,30,B.VEERA HANUMANTHA REDDY,Independent
S01,8,ANDHRA PRADESH,SECUNDERABAD,1,M.ANJAN KUMAR YADAV,Indian National Congress
S01,8,ANDHRA PRADESH,SECUNDERABAD,2,KHAJA KHALID ANWAR,Bahujan Samaj Party
S01,8,ANDHRA PRADESH,SECUNDERABAD,3,BANDARU DATTATREYA,Bharatiya Janata Party
S01,8,ANDHRA PRADESH,SECUNDERABAD,4,T.BHEEMSEN,Telangana Rashtra Samithi
S01,8,ANDHRA PRADESH,SECUNDERABAD,5,ABDUS SATTAR MUJAHED,Akhil Bharatiya Muslim League (Secular)
S01,8,ANDHRA PRADESH,SECUNDERABAD,6,DR.N.S.UDAY KUMAR,Prem Janata Dal
S01,8,ANDHRA PRADESH,SECUNDERABAD,7,KARANKOTE NARENDER,All India Forward Bloc
S01,8,ANDHRA PRADESH,SECUNDERABAD,8,KUMAR CHOWDARY YADAV.G,Samaikyandhra Parirakshana Samithi
S01,8,ANDHRA PRADESH,SECUNDERABAD,9,KLHAJA SIRAJUDDIN AZAZ,Majlis Markaz-e-Siyasee Party
S01,8,ANDHRA PRADESH,SECUNDERABAD,10,CHAYA RATAN MUSINIPALLY,Aam Aadmi Party
S01,8,ANDHRA PRADESH,SECUNDERABAD,11,B.DEEPAK KUMAR,Republican Party of India (Khobragade)
S01,8,ANDHRA PRADESH,SECUNDERABAD,12,NARLA MOHAN RAO,All India Majlis-E-Ittehadul Muslimeen
S01,8,ANDHRA PRADESH,SECUNDERABAD,13,DR.MALATHI LATHA EPPA,Jantantra Party
S01,8,ANDHRA PRADESH,SECUNDERABAD,14,CH. MURAHARI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
S01,8,ANDHRA PRADESH,SECUNDERABAD,15,MOHD IMTIAZ HUSSAIN,Indian Union Muslim League
S01,8,ANDHRA PRADESH,SECUNDERABAD,16,RAGHU DESHABOINA,Bahujan Mukti Party
S01,8,ANDHRA PRADESH,SECUNDERABAD,17,J.RAMULU,Revolutionary Socialist Party
S01,8,ANDHRA PRADESH,SECUNDERABAD,18,SHAKTHI SATYAVATHI,Pyramid Party of India
S01,8,ANDHRA PRADESH,SECUNDERABAD,19,K. SRINIVASULU,Jai Samaikyandhra Party
S01,8,ANDHRA PRADESH,SECUNDERABAD,20,SYED SAJID ALI,Yuvajana Sramika Rythu Congress Party
S01,8,ANDHRA PRADESH,SECUNDERABAD,21,K.SAI KRISHNA MOHAN RAO,Indian Christian Secular Party
S01,8,ANDHRA PRADESH,SECUNDERABAD,22,SONU SARSAL VALMIKI,Telangana Communist Party of India
S01,8,ANDHRA PRADESH,SECUNDERABAD,23,ANANTH RAO GUNDEPALLY,Independent
S01,8,ANDHRA PRADESH,SECUNDERABAD,24,AVULA RANGANAYAKULU,Independent
S01,8,ANDHRA PRADESH,SECUNDERABAD,25,MICHAEL DANIEL OVELZ,Independent
S01,8,ANDHRA PRADESH,SECUNDERABAD,26,MOHD ABUBAKAR PARWAIZ SIDDIQUI,Independent
S01,8,ANDHRA PRADESH,SECUNDERABAD,27,MOHAMMED RIZWAN HUSSAIN,Independent
S01,8,ANDHRA PRADESH,SECUNDERABAD,28,S. LAKSHMAN RAO,Independent
S01,8,ANDHRA PRADESH,SECUNDERABAD,29,SYED MADANI QUADRI,Independent
S01,8,ANDHRA PRADESH,SECUNDERABAD,30,B.SUBRAMANYAM,Independent
S01,9,ANDHRA PRADESH,HYDERABAD,1,S KRISHNA REDDY,Indian National Congress
S01,9,ANDHRA PRADESH,HYDERABAD,2,DR.BHAGAVANTH RAO,Bharatiya Janata Party
S01,9,ANDHRA PRADESH,HYDERABAD,3,RASHID SHAREEF,Telangana Rashtra Samithi
S01,9,ANDHRA PRADESH,HYDERABAD,4,VENU GOPAL.P,Bahujan Samaj Party
S01,9,ANDHRA PRADESH,HYDERABAD,5,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen
S01,9,ANDHRA PRADESH,HYDERABAD,6,S.KHAJA MOINUDDIN,All India Azaad Congress Party
S01,9,ANDHRA PRADESH,HYDERABAD,7,JAYA VINDHYALA,Socialist Party (India)
S01,9,ANDHRA PRADESH,HYDERABAD,8,BINGHI RAJASHEKAR,Pyramid Party of India
S01,9,ANDHRA PRADESH,HYDERABAD,9,BODDU SAINATH REDDY,Yuvajana Sramika Rythu Congress Party
S01,9,ANDHRA PRADESH,HYDERABAD,10,N.MAHENDER SINGH,Nava Bharat National Party
S01,9,ANDHRA PRADESH,HYDERABAD,11,LUBNA SARWATH,Aam Aadmi Party
S01,9,ANDHRA PRADESH,HYDERABAD,12,SYED MUSTAFA MAHMOOD,Majlis Bachao Tahreek
S01,9,ANDHRA PRADESH,HYDERABAD,13,MD OSMAN,Independent
S01,9,ANDHRA PRADESH,HYDERABAD,14,SHAIK MOIN,Independent
S01,9,ANDHRA PRADESH,HYDERABAD,15,SYED ABDUL GAFFER,Independent
S01,9,ANDHRA PRADESH,HYDERABAD,16,M A HABEEB,Independent
S01,10,ANDHRA PRADESH,CHELVELLA,1,KONDA VISHWESHWAR REDDY,Telangana Rashtra Samithi
S01,10,ANDHRA PRADESH,CHELVELLA,2,TULLA VEERENDER,Telugu Desam
S01,10,ANDHRA PRADESH,CHELVELLA,3,PATLOLLA KARTIK REDDY,Indian National Congress
S01,10,ANDHRA PRADESH,CHELVELLA,4,SAMALA RAVINDAR,Bahujan Samaj Party
S01,10,ANDHRA PRADESH,CHELVELLA,5,KUMMARI GIRI,Pyramid Party of India
S01,10,ANDHRA PRADESH,CHELVELLA,6,KONDA RAGHAVA REDDY,Yuvajana Sramika Rythu Congress Party
S01,10,ANDHRA PRADESH,CHELVELLA,7,DR.GOLLA RAMAIAH,Telangana Loksatta Party
S01,10,ANDHRA PRADESH,CHELVELLA,8,CHAN PASHA,Akhil Bharatiya Muslim League (Secular)
S01,10,ANDHRA PRADESH,CHELVELLA,9,MD YUNUS MIYA,Marxist Communist Party of India (United)
S01,10,ANDHRA PRADESH,CHELVELLA,10,REGATTE VENKAT REDDY,Aam Aadmi Party
S01,10,ANDHRA PRADESH,CHELVELLA,11,SYED HASHMATHULLAH QUADRI,Indian Union Muslim League
S01,10,ANDHRA PRADESH,CHELVELLA,12,DR. P. SADHU SATYANADHAN,Indian Christian Secular Party
S01,10,ANDHRA PRADESH,CHELVELLA,13,SUTHARAPU PADMAIAH,Andhra Pradesh Rashtra Samaikya Samithi Party
S01,10,ANDHRA PRADESH,CHELVELLA,14,G.MALLESHAM GOUD,Independent
S01,10,ANDHRA PRADESH,CHELVELLA,15,SANIKE RAM GOPAL YADAV,Independent
S01,11,ANDHRA PRADESH,MAHABUBNAGAR,1,KADIRE KRISHNA,Bahujan Samaj Party
S01,11,ANDHRA PRADESH,MAHABUBNAGAR,2,DR. JANARDHAN REDDY NAGAM,Bharatiya Janata Party
S01,11,ANDHRA PRADESH,MAHABUBNAGAR,3,JAIPAL REDDY SUDINI,Indian National Congress
S01,11,ANDHRA PRADESH,MAHABUBNAGAR,4,AP JITHENDER REDDY,Telangana Rashtra Samithi
S01,11,ANDHRA PRADESH,MAHABUBNAGAR,5,S.R.PREMAIAH,Pyramid Party of India
S01,11,ANDHRA PRADESH,MAHABUBNAGAR,6,H.A. RAHMAN,Yuvajana Sramika Rythu Congress Party
S01,11,ANDHRA PRADESH,MAHABUBNAGAR,7,IBRAHIM SYED,Independent
S01,11,ANDHRA PRADESH,MAHABUBNAGAR,8,DR. CHANDRA SEKHAR. A,Independent
S01,11,ANDHRA PRADESH,MAHABUBNAGAR,9,S. SHIVA SHANKAR,Independent
S01,12,ANDHRA PRADESH,NAGARKURNOOL,1,YELLAIAH NANDI,Indian National Congress
S01,12,ANDHRA PRADESH,NAGARKURNOOL,2,BAKKANI NARSIMLU,Telugu Desam
S01,12,ANDHRA PRADESH,NAGARKURNOOL,3,BAHADHUR SRINIVAS,Bahujan Samaj Party
S01,12,ANDHRA PRADESH,NAGARKURNOOL,4,DR. MANDA JAGANNATH,Telangana Rashtra Samithi
S01,12,ANDHRA PRADESH,NAGARKURNOOL,5,MAREDU GOPAL,Yuvajana Sramika Rythu Congress Party
S01,12,ANDHRA PRADESH,NAGARKURNOOL,6,BUDDULA SRINIVAS,Independent
S01,13,ANDHRA PRADESH,NALGONDA,1,KUNDARAPU RAMESH,Bahujan Samaj Party
S01,13,ANDHRA PRADESH,NALGONDA,2,GUTHA SUKHENDER REDDY,Indian National Congress
S01,13,ANDHRA PRADESH,NALGONDA,3,TERA CHINNAPA REDDY,Telugu Desam
S01,13,ANDHRA PRADESH,NALGONDA,4,NANDYALA NARSIMHA REDDY,Communist Party of India  (Marxist)
S01,13,ANDHRA PRADESH,NALGONDA,5,DR. PALLA RAJESHWAR REDDY,Telangana Rashtra Samithi
S01,13,ANDHRA PRADESH,NALGONDA,6,GUNNAM NAGI REDDY,Yuvajana Sramika Rythu Congress Party
S01,13,ANDHRA PRADESH,NALGONDA,7,TEJAVATH BELLAIAH NAIK,Aam Aadmi Party
S01,13,ANDHRA PRADESH,NALGONDA,8,MANUPURI DAYA SAGAR,Pyramid Party of India
S01,13,ANDHRA PRADESH,NALGONDA,9,MARRI NEHEMIAH,Independent
S01,14,ANDHRA PRADESH,BHONGIR,1,ARVAPALLY AMBATI,Bahujan Samaj Party
S01,14,ANDHRA PRADESH,BHONGIR,2,N. INDRASENA REDDY,Bharatiya Janata Party
S01,14,ANDHRA PRADESH,BHONGIR,3,KOMATIREDDY RAJGOPAL REDDY,Indian National Congress
S01,14,ANDHRA PRADESH,BHONGIR,4,CHERUPALLY SEETHARAMULU,Communist Party of India  (Marxist)
S01,14,ANDHRA PRADESH,BHONGIR,5,DR. NARSAIAH BOORA,Telangana Rashtra Samithi
S01,14,ANDHRA PRADESH,BHONGIR,6,KAPILAVAI DILEEP KUMAR,Rashtriya Lok Dal
S01,14,ANDHRA PRADESH,BHONGIR,7,GUDURU JANARDHAN REDDY,Jai Samaikyandhra Party
S01,14,ANDHRA PRADESH,BHONGIR,8,GUAHATI MOTILAL,All India Majlis-E-Ittehadul Muslimeen
S01,14,ANDHRA PRADESH,BHONGIR,9,NAGULA SRINIVAS YADAV,Mahajana Socialist Party
S01,14,ANDHRA PRADESH,BHONGIR,10,BOILLA NARENDER,Republican Party of India
S01,14,ANDHRA PRADESH,BHONGIR,11,NAVULLA MALLAREDDY,Independent
S01,14,ANDHRA PRADESH,BHONGIR,12,RAVULAPALLY KONDAL RAO,Independent
S01,14,ANDHRA PRADESH,BHONGIR,13,VARIKUPPALA KRISHNA,Independent
S01,15,ANDHRA PRADESH,WARANGAL,1,KADIYAM SRIHARI,Telangana Rashtra Samithi
S01,15,ANDHRA PRADESH,WARANGAL,2,GANNARAPU SURENDER,Bahujan Samaj Party
S01,15,ANDHRA PRADESH,WARANGAL,3,PARAMESHWAR RAMAGALLA,Bharatiya Janata Party
S01,15,ANDHRA PRADESH,WARANGAL,4,RAJAIAH SIRICILLA,Indian National Congress
S01,15,ANDHRA PRADESH,WARANGAL,5,CHINTHA SWAMY,Aam Aadmi Party
S01,15,ANDHRA PRADESH,WARANGAL,6,THUPPARI NARASIMHA SWAMY,Pyramid Party of India
S01,15,ANDHRA PRADESH,WARANGAL,7,VENKANNA KANNAM,Marxist Communist Party of India (United)
S01,15,ANDHRA PRADESH,WARANGAL,8,VENKANNA NEERUDU,Bahujan Mukti Party
S01,15,ANDHRA PRADESH,WARANGAL,9,VENU ESAMPELLY,All India Forward Bloc
S01,15,ANDHRA PRADESH,WARANGAL,10,KANAKAM RAMESH,Independent
S01,15,ANDHRA PRADESH,WARANGAL,11,CHILUVERU PRATHAP,Independent
S01,15,ANDHRA PRADESH,WARANGAL,12,JANNU MAHENDAR,Independent
S01,16,ANDHRA PRADESH,MAHABUBABAD,1,PROF. AZMEERA SEETARAM NAIK,Telangana Rashtra Samithi
S01,16,ANDHRA PRADESH,MAHABUBABAD,2,P. BALRAM,Indian National Congress
S01,16,ANDHRA PRADESH,MAHABUBABAD,3,BANOTH MOHANLAL,Telugu Desam
S01,16,ANDHRA PRADESH,MAHABUBABAD,4,BODA RAASI,Bahujan Samaj Party
S01,16,ANDHRA PRADESH,MAHABUBABAD,5,KAVITHA RANI LUNAVATH,Pyramid Party of India
S01,16,ANDHRA PRADESH,MAHABUBABAD,6,GUGULOTU JAGAN,Marxist Communist Party of India (United)
S01,16,ANDHRA PRADESH,MAHABUBABAD,7,TELLAM VENKATA RAO,Yuvajana Sramika Rythu Congress Party
S01,16,ANDHRA PRADESH,MAHABUBABAD,8,EESAM SUDHAKAR,Independent
S01,16,ANDHRA PRADESH,MAHABUBABAD,9,V. GOURI NAGAMANI,Independent
S01,16,ANDHRA PRADESH,MAHABUBABAD,10,DATLA NAGESHWAR RAO,Independent
S01,16,ANDHRA PRADESH,MAHABUBABAD,11,PADIGA YARRAIAH,Independent
S01,16,ANDHRA PRADESH,MAHABUBABAD,12,PAYAM CHANDHAR RAO (CHINNA CHANDHRANNA),Independent
S01,16,ANDHRA PRADESH,MAHABUBABAD,13,PONAKA SAMMAKKA,Independent
S01,16,ANDHRA PRADESH,MAHABUBABAD,14,BALUNAYAK BHUKYA,Independent
S01,16,ANDHRA PRADESH,MAHABUBABAD,15,METLA PAPAIAH,Independent
S01,16,ANDHRA PRADESH,MAHABUBABAD,16,LAXMAN BUKYA,Independent
S01,16,ANDHRA PRADESH,MAHABUBABAD,17,LAXMINARAYANA BORRA,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,1,KANKANALA NARAYANA,Communist Party of India
S01,17,ANDHRA PRADESH,KHAMMAM,2,DODDA RAM BABU,Bahujan Samaj Party
S01,17,ANDHRA PRADESH,KHAMMAM,3,NAMA NAGESWARA RAO,Telugu Desam
S01,17,ANDHRA PRADESH,KHAMMAM,4,BUDAN BAIG SHAIK,Telangana Rashtra Samithi
S01,17,ANDHRA PRADESH,KHAMMAM,5,NAGARJUNA CHERUKURU,Jai Samaikyandhra Party
S01,17,ANDHRA PRADESH,KHAMMAM,6,PONGULETI  SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party
S01,17,ANDHRA PRADESH,KHAMMAM,7,MEDARAMETLA  RAMA RAO,Pyramid Party of India
S01,17,ANDHRA PRADESH,KHAMMAM,8,KANAKAM TIRUMALA RAO,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,9,KALTHI RAMULAMMA,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,10,KALTHI VENKATESWARLU,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,11,KAKI BHASKAR,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,12,GUGULOTHU RANJITH KUMAR,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,13,GUGULOTHU SARVAN,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,14,GOKINEPALLI VENKATESWARA RAO,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,15,JERRIPOTHULA SRINIVAS,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,16,NAGIREDDY RAJI REDDY,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,17,BACHALA LAXMAIAH,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,18,BANOTH KISHAN NAYAK,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,19,BANOTH LAXMA NAIK,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,20,BUSIREDDY SHANKAR REDDY,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,21,MARIKANTI VASUDASU,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,22,MUDIGE NAGESWARA RAO,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,23,MOKALLA RAMESH,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,24,RAMESH KOMMU,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,25,RAMU KANDULA,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,26,LINGALA RAVI KUMAR,Independent
S01,17,ANDHRA PRADESH,KHAMMAM,27,SANAPA POMMAIAH,Independent
S01,18,ANDHRA PRADESH,ARUKU,1,KOTHAPALLI GEETHA,Yuvajana Sramika Rythu Congress Party
S01,18,ANDHRA PRADESH,ARUKU,2,GUMMIDI SANDHYA RANI,Telugu Desam
