ST_NAME,Column,Field,Value
Tamil Nadu,AC_NAME,PALACODU,PALACODU
Tamil Nadu,AC_NAME,PALAYAMCOTTAI,PALAYAMKOTTAI
Tamil Nadu,AC_NAME,PALAYAMKOTTAI,PALAYAMKOTTAI
Tamil Nadu,AC_NAME,PANAMARATHUPATTI,PANAMARATHUPATTI
Tamil Nadu,AC_NAME,PANAMARATHUPATTY,PANAMARATHUPATTI
Tamil Nadu,AC_NAME,PANAMRATHUPATTI,PANAMARATHUPATTI
Tamil Nadu,AC_NAME,PERAMBALUR,PERAMBALUR
Tamil Nadu,AC_NAME,PERAURANI,PERAVURANI
Tamil Nadu,AC_NAME,PERAVURANI,PERAVURANI
Tamil Nadu,AC_NAME,PERIAKULAM,PERIYAKULAM
Tamil Nadu,AC_NAME,PERIYAKULAM,PERIYAKULAM
Tamil Nadu,AC_NAME,PERNAMALLUR,PERAMBALUR
Tamil Nadu,AC_NAME,PERNAMBATTU,PERNAMBATTU
Tamil Nadu,AC_NAME,PERNAMBUT,PERNAMBATTU
Tamil Nadu,AC_NAME,PERUNDURAI,PERUNDURAI
Tamil Nadu,AC_NAME,PERUNIURAI,PERUNDURAI
Tamil Nadu,AC_NAME,POONAMALLEE,POONAMALLEE
Tamil Nadu,AC_NAME,POONMALLAE,POONAMALLEE
Tamil Nadu,AC_NAME,POTTAPIDARAM,OTTAPIDARAM
Tamil Nadu,AC_NAME,RISHIVADIYAM,RISHIVADIYAM
Tamil Nadu,AC_NAME,RISHIVADIYAM,RISHIVANDIYAM
Tamil Nadu,AC_NAME,RISHIVANDIAM,RISHIVADIYAM
Tamil Nadu,AC_NAME,RISHIVANDIAM,RISHIVANDIYAM
Tamil Nadu,AC_NAME,RISHIVANDIYAM,RISHIVADIYAM
Tamil Nadu,AC_NAME,RISHIVANDIYAM,RISHIVANDIYAM
Tamil Nadu,AC_NAME,SALEM I,SALEM-I
Tamil Nadu,AC_NAME,SALEM I I,SALEM-II
Tamil Nadu,AC_NAME,SALEM-I,SALEM-I
Tamil Nadu,AC_NAME,SALEM-II,SALEM-II
Tamil Nadu,AC_NAME,SANKARANAYANARKOIL,SANKARANKOVIL
Tamil Nadu,AC_NAME,SANKARANKOIL,SANKARANKOVIL
Tamil Nadu,AC_NAME,SANKARANKOVIL,SANKARANKOVIL
Tamil Nadu,AC_NAME,SATHYAMANGALAM,SATHYAMANGALAM
Tamil Nadu,AC_NAME,SATYAMANGALAM,SATHYAMANGALAM
Tamil Nadu,AC_NAME,SENDAMANGALAM,SENTHAMANGALAM
Tamil Nadu,AC_NAME,SENTHAMANGALAM,SENTHAMANGALAM
Tamil Nadu,AC_NAME,SHOKINGHUR,SHOLINGHUR
Tamil Nadu,AC_NAME,SHOLINGHUR,SHOLINGHUR
Tamil Nadu,AC_NAME,SHOLINGHUR,SHOLINGHUR
Tamil Nadu,AC_NAME,SHOLINGHUR,SHOLINGUR
Tamil Nadu,AC_NAME,SHOLINGUR,SHOLINGHUR
Tamil Nadu,AC_NAME,SHOLINGUR,SHOLINGUR
Tamil Nadu,AC_NAME,SIRKALI,SIRKAZHI
Tamil Nadu,AC_NAME,SIRKAZHI,SIRKAZHI
Tamil Nadu,AC_NAME,SRIVAIKUNTAM,SRIVAIKUNTAM
Tamil Nadu,AC_NAME,SRIVAIKUNTAR,SRIVAIKUNTAM
Tamil Nadu,AC_NAME,THANDARAMBATTU,THANDARAMBATTU
Tamil Nadu,AC_NAME,THANDRAMBA,THANDARAMBATTU
Tamil Nadu,AC_NAME,THANDRAMBATTU,THANDARAMBATTU
Tamil Nadu,AC_NAME,THEAGARAYA NAGAR,T-NAGAR
Tamil Nadu,AC_NAME,THIAGARAYANAGAR,T-NAGAR
Tamil Nadu,AC_NAME,THIAGARAYANAGAR,T-NAGAR
Tamil Nadu,AC_NAME,THIRUMAIYAM,THIRUMAIYAM
Tamil Nadu,AC_NAME,THIRUMAYAM,THIRUMAIYAM
Tamil Nadu,AC_NAME,THIRUPARANKUNDRAM,THIRUPPARANKUNDRAM
Tamil Nadu,AC_NAME,THIRUPORUR,THIRUPORUR
Tamil Nadu,AC_NAME,THIRUPPARANKUNDRAM,THIRUPPARANKUNDRAM
Tamil Nadu,AC_NAME,THIRUTHURAIPOONDI,THIRUTHURAIPOONDI
Tamil Nadu,AC_NAME,THIRUTHURAIPUNDI,THIRUTHURAIPOONDI
Tamil Nadu,AC_NAME,THIRUTHURAIPUNDI,THIRUTHURAIPUNDI
Tamil Nadu,AC_NAME,THIRUVAIYARU,THIRUVAIYARU
Tamil Nadu,AC_NAME,THIRUVALLUR,THIRUVALLUR
Tamil Nadu,AC_NAME,THIRUVARAMBUR,THIRUVERAMBUR
Tamil Nadu,AC_NAME,THIRUVARUR,THIRUVARUR
Tamil Nadu,AC_NAME,THIRUVATTAR,THIRUVATTAR
Tamil Nadu,AC_NAME,THIRUVERAMBUR,THIRUVERAMBUR
Tamil Nadu,AC_NAME,THIRUVERAMBUR,THIRUVERUMBUR
Tamil Nadu,AC_NAME,THIRUVIDAIMARUDUR,THIRUVIDAIMARUDUR
Tamil Nadu,AC_NAME,THIRUVIDAMARUDUR,THIRUVIDAIMARUDUR
Tamil Nadu,AC_NAME,THIRUVOTTIYUR,THIRUVOTTIYUR
Tamil Nadu,AC_NAME,THIYAGARAYANAGAR,T-NAGAR
Tamil Nadu,AC_NAME,THOTTIAM,THOTTIYAM
Tamil Nadu,AC_NAME,THOTTIYAM,THOTTIYAM
Tamil Nadu,AC_NAME,THOUSAND LIGHTS,THOUSAND LIGHTS
Tamil Nadu,AC_NAME,THOUSANDLIGHTS,THOUSAND LIGHTS
Tamil Nadu,AC_NAME,TIRUCHENGODE,TIRUCHENGODU
Tamil Nadu,AC_NAME,TIRUCHENGODU,TIRUCHENGODU
Tamil Nadu,AC_NAME,TIRUCHIRAPALLI-I,TIRUCHIRAPALLI-I
Tamil Nadu,AC_NAME,TIRUCHIRAPALLI-II,TIRUCHIRAPALLI-II
Tamil Nadu,AC_NAME,TIRUCHIRAPPALLI I,TIRUCHIRAPALLI-I
Tamil Nadu,AC_NAME,TIRUCHIRAPPALLI I I,TIRUCHIRAPALLI-II
Tamil Nadu,AC_NAME,TIRUCHIRAPPALLI-I,TIRUCHIRAPALLI-I
Tamil Nadu,AC_NAME,TIRUCHIRAPPALLI-II,TIRUCHIRAPALLI-II
Tamil Nadu,AC_NAME,TIRUKKOILUR,TIRUKKOILUR
Tamil Nadu,AC_NAME,TIRUKKOILUR,TIRUKKOYILUR
Tamil Nadu,AC_NAME,TIRUKKOYILUR,TIRUKKOYILUR
Tamil Nadu,AC_NAME,TIRUKOILUR,TIRUKKOILUR
Tamil Nadu,AC_NAME,TIRUPATTUR,TIRUPPATTUR
Tamil Nadu,AC_NAME,TIRUPORUR,TIRUPPORUR
Tamil Nadu,AC_NAME,TIRUPPARANKUNDRAM,THIRUPPARANKUNDRAM
Tamil Nadu,AC_NAME,TIRUPPATTUR,TIRUPPATTUR
Tamil Nadu,AC_NAME,TIRUPPORUR,THIRUPORUR
Tamil Nadu,AC_NAME,TIRUPPORUR,TIRUPPORUR
Tamil Nadu,AC_NAME,TIRUTHURAIPUNDI,THIRUTHURAIPUNDI
Tamil Nadu,AC_NAME,TIRUVAIYARU,THIRUVAIYARU
Tamil Nadu,AC_NAME,TIRUVALLUR,THIRUVALLUR
Tamil Nadu,AC_NAME,TIRUVARUR,THIRUVARUR
Tamil Nadu,AC_NAME,TIRUVATTAR,THIRUVATTAR
Tamil Nadu,AC_NAME,TIRUVOTRIYUR,THIRUVOTTIYUR
Tamil Nadu,AC_NAME,UDHAGAMANDALAM,UDHAGAMANDALAM
Tamil Nadu,AC_NAME,UDUMALAIPETTAI,UDUMALPET
Tamil Nadu,AC_NAME,UDUMALPET,UDUMALPET
Tamil Nadu,AC_NAME,ULUNDURPET,ULUNDURPET
Tamil Nadu,AC_NAME,ULUNDURPETTAI,ULUNDURPET
Tamil Nadu,AC_NAME,UPPILIAPURAM,UPPILIAPURAM
Tamil Nadu,AC_NAME,UPPILIYAPURAM,UPPILIAPURAM
Tamil Nadu,AC_NAME,UTHANGARAI,UTHANGARAI
Tamil Nadu,AC_NAME,UTTANGARAI,UTHANGARAI
Tamil Nadu,AC_NAME,VANDAVASHI,VANDAVASI
Tamil Nadu,AC_NAME,VANDAVASI,VANDAVASI
Tamil Nadu,AC_NAME,VANDAVASI,VANDAVASI
Tamil Nadu,AC_NAME,VANIAYAMBADI,VANIYAMBADI
Tamil Nadu,AC_NAME,VANIYAMBADI,VANIYAMBADI
Tamil Nadu,AC_NAME,VEERAPANDI,VEERAPANDI
Tamil Nadu,AC_NAME,VEERAPANDY,VEERAPANDI
Tamil Nadu,AC_NAME,VIRUDHUNAGAR,VIRUDHUNAGAR
Tamil Nadu,AC_NAME,VIRUDUNAGAR,VIRUDHUNAGAR
Tamil Nadu,AC_NAME,VRIDDHACHALAM,VRIDHACHALAM
Tamil Nadu,AC_NAME,VRIDHACHALAM,VRIDHACHALAM
Tamil Nadu,AC_NAME,WANDIWASH,VANDAVASI
Tamil Nadu,PARTY,ADK,ADMK
Tamil Nadu,PARTY,ADMK,ADMK
Tamil Nadu,PARTY,AIADMK,ADMK
Tamil Nadu,PARTY,CPI(M),CPM
Tamil Nadu,PARTY,INC(I),INC
Tamil Nadu,PARTY,JNP,JNP
Tamil Nadu,PARTY,JNP(JP),JNP
Tamil Nadu,PARTY,MADMK,MDMK
Tamil Nadu,PARTY,MAMAK,MDMK
Tamil Nadu,PARTY,MDMK,MDMK
Karnataka,AC_NAME,AFZALPUR,AFZALPUR
Karnataka,AC_NAME,ALAND,ALAND
Karnataka,AC_NAME,ALLAND,ALAND
Karnataka,AC_NAME,ANEKAL,ANEKAL
Karnataka,AC_NAME,ANKOLA,ANKOLA
Karnataka,AC_NAME,ARABHAVI,ARBHAVI
Karnataka,AC_NAME,ARBHAVI,ARBHAVI
Karnataka,AC_NAME,ARKALGUD,ARKALGUD
Karnataka,AC_NAME,ARSIKERE,ARSIKERE
Karnataka,AC_NAME,ATHANI,ATHANI
Karnataka,AC_NAME,ATHNI,ATHANI
Karnataka,AC_NAME,AURAD,AURAD
Karnataka,AC_NAME,B.T.M LAYOUT,B.T.M LAYOUT
Karnataka,AC_NAME,B.T.M. LAYOUT,B.T.M LAYOUT
Karnataka,AC_NAME,BABALESHWAR,BABALESHWAR
Karnataka,AC_NAME,BADAMI,BADAMI
Karnataka,AC_NAME,BAGALKOT,BAGALKOT
Karnataka,AC_NAME,BAGEPALLI,BAGEPALLI
Karnataka,AC_NAME,BAGEWADI,BAGEWADI
Karnataka,AC_NAME,BAILHONGAL,BAILHONGAL
Karnataka,AC_NAME,BAINDUR,BAINDUR
Karnataka,AC_NAME,BALLOLLI,BALLOLLI
Karnataka,AC_NAME,BANGALORE NORTH,BANGALORE NORTH
Karnataka,AC_NAME,BANGALORE SOUTH,BANGALORE SOUTH
Karnataka,AC_NAME,BANGARAPET,BANGARAPET
Karnataka,AC_NAME,BANGARPET,BANGARPET
Karnataka,AC_NAME,BANNUR,BANNUR
Karnataka,AC_NAME,BANTVAL,BANTVAL
Karnataka,AC_NAME,BANTWAL,BANTVAL
Karnataka,AC_NAME,BARADOL,BARADOL
Karnataka,AC_NAME,BASAVA KALYAN,BASAVAKALYAN
Karnataka,AC_NAME,BASAVAKALYAN,BASAVAKALYAN
Karnataka,AC_NAME,BASAVANA BAGEVADI,BASAVANA BAGEVADI
Karnataka,AC_NAME,BASAVANA-BAGEWADI,BASAVANA BAGEVADI
Karnataka,AC_NAME,BASAVANAGUDI,BASAVANAGUDI
Karnataka,AC_NAME,BASAVANGUDI,BASAVANAGUDI
Karnataka,AC_NAME,BASAVANGUNI,BASAVANAGUDI
Karnataka,AC_NAME,BELGAUM,BELGAUM
Karnataka,AC_NAME,BELGAUM CITY,BELGAUM CITY
Karnataka,AC_NAME,BELGAUM DAKSHIN,BELGAUM DAKSHIN
Karnataka,AC_NAME,BELGAUM I,BELGAUM I
Karnataka,AC_NAME,BELGAUM I I,BELGAUM I I
Karnataka,AC_NAME,BELGAUM II,BELGAUM I I
Karnataka,AC_NAME,BELGAUM RURAL,BELGAUM RURAL
Karnataka,AC_NAME,BELGAUM UTTAR,BELGAUM UTTAR
Karnataka,AC_NAME,BELLARY,BELLARY
Karnataka,AC_NAME,BELLARY CITY,BELLARY CITY
Karnataka,AC_NAME,BELLAVI,BELLAVI
Karnataka,AC_NAME,BELTHANGADY,BELTHANGADY
Karnataka,AC_NAME,BELUR,BELUR
Karnataka,AC_NAME,BETHAMANGALA,BETHAMANGALA
Karnataka,AC_NAME,BHADRAVATHI,BHADRAVATHI
Karnataka,AC_NAME,BHADRAVATI,BHADRAVATHI
Karnataka,AC_NAME,BHALKI,BHALKI
Karnataka,AC_NAME,BHARAMASAGARA,BHARMASAGARA
Karnataka,AC_NAME,BHARATHINAGAR,BHARATHINAGAR
Karnataka,AC_NAME,BHARATHYNAGAR,BHARATHINAGAR
Karnataka,AC_NAME,BHARMASAGARA,BHARMASAGARA
Karnataka,AC_NAME,BHATKAL,BHATKAL
Karnataka,AC_NAME,BIDAR,BIDAR
Karnataka,AC_NAME,BIDAR SOUTH,BIDAR SOUTH
Karnataka,AC_NAME,BIJAPUR,BIJAPUR
Karnataka,AC_NAME,BIJAPUR CITY,BIJAPUR CITY
Karnataka,AC_NAME,BILGI,BILGI
Karnataka,AC_NAME,BILIGERE,BILIGERE
Karnataka,AC_NAME,BINNYPET,BINNYPET
Karnataka,AC_NAME,BIRUR,BIRUR
Karnataka,AC_NAME,BOMMANAHALLI,BOMMANAHALLI
Karnataka,AC_NAME,BRAHAMAVAR,BRAHMAVAR
Karnataka,AC_NAME,BRAHMAVAR,BRAHMAVAR
Karnataka,AC_NAME,BRAHMAWAR,BRAHMAVAR
Karnataka,AC_NAME,BROADWAY,BROADWAY
Karnataka,AC_NAME,BUNTWAL,BANTVAL
Karnataka,AC_NAME,BYADGI,BYADGI
Karnataka,AC_NAME,BYATARAYANAPURA,BYATARAYANAPURA
Karnataka,AC_NAME,BYNDOOR,BAINDUR
Karnataka,AC_NAME,C.V. RAMAN NAGAR,C.V. RAMAN NAGAR
Karnataka,AC_NAME,CHALLAKERE,CHALLAKERE
Karnataka,AC_NAME,CHAM RAJAPET,CHAMARAJPET
Karnataka,AC_NAME,CHAMARAJA,CHAMARAJA
Karnataka,AC_NAME,CHAMARAJANAGAR,CHAMARAJANAGAR
Karnataka,AC_NAME,CHAMARAJAPET,CHAMARAJPET
Karnataka,AC_NAME,CHAMARAJPET,CHAMARAJPET
Karnataka,AC_NAME,CHAMRAJPET,CHAMARAJPET
Karnataka,AC_NAME,CHAMUNDESHWARI,CHAMUNDESHWARI
Karnataka,AC_NAME,CHAMUNDESWARI,CHAMUNDESHWARI
Karnataka,AC_NAME,CHANDRASEKHARAPURA,CHANDRASEKHARAPURA
Karnataka,AC_NAME,CHANNAGIRI,CHANNAGIRI
Karnataka,AC_NAME,CHANNAPATNA,CHANNAPATNA
Karnataka,AC_NAME,CHENNAGIRI,CHANNAGIRI
Karnataka,AC_NAME,CHICKPET,CHICKPET
Karnataka,AC_NAME,CHICNAYAKANAHALLI,CHIKNAYAKANHALLI
Karnataka,AC_NAME,CHIKAMAGALUR,CHIKMAGALUR
Karnataka,AC_NAME,CHIKBALLAPUR,CHIKBALLAPUR
Karnataka,AC_NAME,CHIKKABALLAPUR,CHIKBALLAPUR
Karnataka,AC_NAME,CHIKKODI,CHIKKODI
Karnataka,AC_NAME,CHIKKODI-SADALGA,CHIKKODI-SADALGA
Karnataka,AC_NAME,CHIKMAGALUR,CHIKMAGALUR
Karnataka,AC_NAME,CHIKNAIKANAHALLI,CHIKNAYAKANHALLI
Karnataka,AC_NAME,CHIKNAYAKANAHALLI,CHIKNAYAKANHALLI
Karnataka,AC_NAME,CHIKNAYAKANHALLI,CHIKNAYAKANHALLI
Karnataka,AC_NAME,CHIKODI,CHIKKODI
Karnataka,AC_NAME,CHIKPET,CHICKPET
Karnataka,AC_NAME,CHINCHOLI,CHINCHOLI
Karnataka,AC_NAME,CHINTAMANI,CHINTAMANI
Karnataka,AC_NAME,CHITALDRUG,CHITRADURGA
Karnataka,AC_NAME,CHITAPUR,CHITTAPUR
Karnataka,AC_NAME,CHITRADURGA,CHITRADURGA
Karnataka,AC_NAME,CHITTAPUR,CHITTAPUR
Karnataka,AC_NAME,COONDAPUR,KUNDAPURA
Karnataka,AC_NAME,CUBBONPET,CUBBONPET
Karnataka,AC_NAME,DASARAHALLI,DASARAHALLI
Karnataka,AC_NAME,DAVANAGERE NORTH,DAVANAGERE NORTH
Karnataka,AC_NAME,DAVANAGERE SOUTH,DAVANAGERE SOUTH
Karnataka,AC_NAME,DAVANGERE,DAVANGERE
Karnataka,AC_NAME,DEODURG,DEODURG
Karnataka,AC_NAME,DEVADURGA,DEVADURGA
Karnataka,AC_NAME,DEVANAHALLI,DEVANAHALLI
Karnataka,AC_NAME,DEVAR HIPPARGI,DEVAR HIPPARGI
Karnataka,AC_NAME,DHARWAD,DHARWAD
Karnataka,AC_NAME,DHARWAD RURAL,DHARWAD RURAL
Karnataka,AC_NAME,DHARWAR,DHARWAD
Karnataka,AC_NAME,DHARWAR RURAL,DHARWAD RURAL
Karnataka,AC_NAME,DOD BALLAPUR,DODDABALLAPUR
Karnataka,AC_NAME,DODABALLAPUR,DODDABALLAPUR
Karnataka,AC_NAME,DODDABALLAPUR,DODDABALLAPUR
Karnataka,AC_NAME,DODDABALLAPURA,DODDABALLAPUR
Karnataka,AC_NAME,FORT,FORT
Karnataka,AC_NAME,GADAG,GADAG
Karnataka,AC_NAME,GANDASI,GANDASI
Karnataka,AC_NAME,GANDHI NAGAR,GANDHI NAGAR
Karnataka,AC_NAME,GANDHINAGAR,GANDHI NAGAR
Karnataka,AC_NAME,GANDSI,GANDASI
Karnataka,AC_NAME,GANGAVATHI,GANGAVATHI
Karnataka,AC_NAME,GANGAVATI,GANGAVATHI
Karnataka,AC_NAME,GANGAVATTI,GANGAVATHI
Karnataka,AC_NAME,GANGAWATI,GANGAVATHI
Karnataka,AC_NAME,GAURIBIDANUR,GAURIBIDANUR
Karnataka,AC_NAME,GHANDHI NAGAR,GANDHI NAGAR
Karnataka,AC_NAME,GOKAK,GOKAK
Karnataka,AC_NAME,GOKAK I,GOKAK I
Karnataka,AC_NAME,GOKAK I I,GOKAK II
Karnataka,AC_NAME,GOKAK II,GOKAK II
Karnataka,AC_NAME,GOVINDRAJ NAGAR,GOVINDRAJ NAGAR
Karnataka,AC_NAME,GOWRIBIDANUR,GAURIBIDANUR
Karnataka,AC_NAME,GUBBI,GUBBI
Karnataka,AC_NAME,GULBARGA,GULBARGA
Karnataka,AC_NAME,GULBARGA DAKSHIN,GULBARGA DAKSHIN
Karnataka,AC_NAME,GULBARGA RURAL,GULBARGA RURAL
Karnataka,AC_NAME,GULBARGA UTTAR,GULBARGA UTTAR
Karnataka,AC_NAME,GULEDGUD,GULEDGUD
Karnataka,AC_NAME,GULEDGUU,GULEDGUD
Karnataka,AC_NAME,GULUR,GULUR
Karnataka,AC_NAME,GUNDLUPET,GUNDLUPET
Karnataka,AC_NAME,GURMITKAL,GURMITKAL
Karnataka,AC_NAME,GURUMITKAL,GURMITKAL
Karnataka,AC_NAME,HADAGALLI,HADAGALLI
Karnataka,AC_NAME,HAGARIBOMMANAHALLI,HAGARIBOMMANAHALLI
Karnataka,AC_NAME,HALIYAL,HALIYAL
Karnataka,AC_NAME,HANAGAL,HANGAL
Karnataka,AC_NAME,HANGAL,HANGAL
Karnataka,AC_NAME,HANUR,HANUR
Karnataka,AC_NAME,HARAPANAHALLI,HARPANAHALLI
Karnataka,AC_NAME,HARIHAR,HARIHAR
Karnataka,AC_NAME,HARPANAHALLI,HARPANAHALLI
Karnataka,AC_NAME,HASSAN,HASSAN
Karnataka,AC_NAME,HAVERI,HAVERI
Karnataka,AC_NAME,HEBBAL,HEBBAL
Karnataka,AC_NAME,HEBBUR,HEBBUR
Karnataka,AC_NAME,HEGGADADEVANAKOTE,HEGGADADEVANKOTE
Karnataka,AC_NAME,HEGGADADEVANKOTE,HEGGADADEVANKOTE
Karnataka,AC_NAME,HIREKERUP,HIREKERUR
Karnataka,AC_NAME,HIREKERUR,HIREKERUR
Karnataka,AC_NAME,HIRIYUR,HIRIYUR
Karnataka,AC_NAME,HOLALKERE,HOLALKERE
Karnataka,AC_NAME,HOLEHONNUR,HOLEHONNUR
Karnataka,AC_NAME,HOLENARASIPUR,HOLENARASIPUR
Karnataka,AC_NAME,HOLENARSIPUR,HOLENARASIPUR
Karnataka,AC_NAME,HOMNABAD,HOMNABAD
Karnataka,AC_NAME,HONAWAR,HONAWAR
Karnataka,AC_NAME,HONNALI,HONNALI
Karnataka,AC_NAME,HOSADURGA,HOSADURGA
Karnataka,AC_NAME,HOSAKOTE,HOSAKOTE
Karnataka,AC_NAME,HOSANAGAR,HOSANNAGAR
Karnataka,AC_NAME,HOSANNAGAR,HOSANNAGAR
Karnataka,AC_NAME,HOSDURGA,HOSDURGA
Karnataka,AC_NAME,HOSKOTE,HOSKOTE
Karnataka,AC_NAME,HOSPET,HOSPET
Karnataka,AC_NAME,HUBLI,HUBLI
Karnataka,AC_NAME,HUBLI CITY,HUBLI CITY
Karnataka,AC_NAME,HUBLI RURAL,HUBLI RURAL
